,Rewards,Average reward
0,-326.2429825642404,-326.2429825642404
1,-143.1093166322819,-234.67614959826113
2,-173.47877684876545,-214.27702534842925
3,-95.80421502160986,-184.6588227667244
4,-57.693140871552785,-159.2656863876901
5,-125.37154474127942,-153.61666277995496
6,-354.37036414692,-182.2957629752357
7,-204.80596907821456,-185.10953873810803
8,-132.85589264001464,-179.3035780605421
9,-211.23359332473,-182.49657958696088
10,-115.97934520895268,-176.44955827986925
11,-124.69553814060664,-172.13672326826403
12,-22.488368747189412,-160.62531138202752
13,-103.67583509798862,-156.5574916474533
14,-90.07680335425567,-152.12544576124012
15,-358.1546992459182,-165.00227410403252
16,-79.91975205895946,-159.99741986608706
17,-341.4886103754417,-170.0802637832734
18,-110.20905715894747,-166.929147645151
19,-176.29660561605405,-167.39752054369615
20,1.4950546250352232,-159.35501696423276
21,50.127126078164906,-149.83310137139648
22,-81.84896971037703,-146.8772695600478
23,-114.20509079392289,-145.51592877812595
24,-99.91098352405616,-143.69173096796317
25,-267.4787477042439,-148.4527700732047
26,-107.51034804054999,-146.9363840719953
27,-179.05395510589824,-148.083440180349
28,-66.92906312023544,-145.28501338517265
29,-134.78283636864523,-144.93494081795507
30,-101.01320494960802,-143.51811062865355
31,-120.07559916444782,-142.7855321453971
32,-197.79997464858354,-144.45263646367547
33,-130.3882708608112,-144.0389786518265
34,-250.03835408402804,-147.06753223560372
35,-158.4037188343196,-147.3824263077903
36,-25.491620622173414,-144.088080208179
37,-151.12491833480766,-144.27326015887976
38,-132.9809545000228,-143.9837138599347
39,-281.29509712386846,-147.41649844153307
40,-181.90234123516126,-148.25761655845082
41,-105.62853618456106,-147.2426384543106
42,-192.83364762402726,-148.3028944815133
43,-145.5110120696919,-148.23944260851738
44,-325.09251358779045,-152.16951085250122
45,-259.0027838958914,-154.49197330996623
46,-107.55881614188846,-153.49339549787945
47,-196.76448048543915,-154.39487643512027
48,-42.25455838365745,-152.10629851570263
49,-114.95976626631614,-151.3633678707149
50,-159.0729009956056,-151.51453518688925
51,-313.8068337202677,-154.63554092791577
52,-133.8848420393074,-154.244018307376
53,-266.3640595596303,-156.32031536760292
54,16.982246003046697,-153.16935970631837
55,-233.62087110394796,-154.60599383841893
56,-261.77912861686247,-156.48622427312847
57,-138.72486473693888,-156.17999393629762
58,-116.45713126177179,-155.50672507740737
59,-96.96150307992019,-154.53097137744922
60,-64.17853144441155,-153.04978383756335
61,-48.16035094276651,-151.35801879087307
62,-74.48011913122045,-150.1377346692913
63,23.726349951890143,-147.42110834708532
64,-2.362125902005971,-145.1894316940841
65,-31.847115887636278,-143.47212387883488
66,-142.1779144620267,-143.45280732037506
67,-101.7110670166912,-142.83895819826208
68,-67.78096787510012,-141.75116123705683
69,-92.01797216562127,-141.04068710746486
70,-188.02508993227363,-141.70243925992696
71,-102.15053574236751,-141.15310726662756
72,-145.36753303879107,-141.2108391265202
73,-29.05974049316842,-139.695283739583
74,-134.90725400280547,-139.63144334309263
75,-188.36434359727622,-140.2726657148582
76,-83.15257177298444,-139.53084631301567
77,19.597745182806932,-137.49073616563334
78,-110.38425638595771,-137.14761616842225
79,-197.27817883266903,-137.89924820172536
80,-172.0254097190234,-138.32055883774137
81,-75.54764951694597,-137.55503555334144
82,-80.57947433570034,-136.8685830085506
83,-86.65814479505676,-136.27083969648518
84,-97.68538858098309,-135.8168932127734
85,-163.19780993117902,-136.13527596531299
86,-162.92649876373753,-136.44322105495007
87,-171.7895992976795,-136.844884444072
88,-192.55108944663067,-137.47079685983107
89,-85.90310023841535,-136.89782245292645
90,-50.0032972662261,-135.9429375607649
91,-70.47367095262885,-135.231315097633
92,-99.492467055847,-134.84702640901165
93,-80.99951987764334,-134.27418059484816
94,-117.86339574980414,-134.1014354912161
95,-84.22466884679264,-133.58188583867002
96,-128.3270870779421,-133.52771265556973
97,-73.45281867237702,-132.91470353329225
98,-120.61962463729496,-132.79051081717105
99,-46.47330170470588,-131.9273387260464
100,-179.16383004163796,-130.45654720082038
101,-87.47037073321157,-129.9001577418297
102,-42.270365492257355,-128.58807362826462
103,-28.972960750368614,-127.91976108555222
104,-65.70111484567525,-127.99984082529343
105,-36.0156700234011,-127.10628207811466
106,-105.38454974334113,-124.61642393407887
107,-18.169709371776776,-122.7500613370145
108,-96.91317187147084,-122.39063412932904
109,-103.57559133514006,-121.31405410943316
110,-21.833000274161506,-120.37259066008527
111,-91.02534288141518,-120.03588870749334
112,-61.28987642387786,-120.42390378426023
113,-104.60528629480598,-120.43319829622838
114,-103.95750083766359,-120.57200527106247
115,-107.39928429623896,-118.06445112156565
116,-88.14325062778015,-118.14668610725386
117,-38.633811827867476,-115.11813812177812
118,-186.42346887745936,-115.88028223896323
119,-67.2243732189153,-114.78955991499183
120,-25.33836210901498,-115.05789408233233
121,-64.78222684916324,-116.20698761160561
122,-91.3896366376019,-116.30239428087788
123,-41.73242184391593,-115.57766759137779
124,-17.18128120005629,-114.75037056813782
125,-90.73423447205589,-112.98292543581594
126,-31.742134372309124,-112.22524329913354
127,-39.297611797598925,-110.82767986605054
128,24.99155918525689,-109.90847364299563
129,-22.843056395261698,-108.7890758432618
130,10.537646781773532,-107.67356732594799
131,25.288209280635073,-106.21992924149714
132,-8.395068000025592,-104.32588017501155
133,67.8800081879141,-102.34319738452429
134,-61.894744460813094,-100.46176128829212
135,-35.945898683950915,-99.23718308678845
136,-1.5947020392479772,-98.9982139009592
137,-79.29776703950417,-98.27994238800619
138,-110.02271101806612,-98.0503599531866
139,-29.274585793158465,-95.53015483987953
140,-76.56220958584983,-94.47675352338639
141,-101.69974530968015,-94.4374656146376
142,-139.9921196057166,-93.90905033445449
143,-37.28283735963291,-92.82676858735391
144,-32.50005336639681,-89.90084398513996
145,-50.73004588528168,-87.81811660503386
146,39.35241141229212,-86.34900432949208
147,-26.2789349847439,-84.64414887448511
148,-10.163171799887962,-84.32323500864743
149,-66.52014384020053,-83.83883878438624
150,-43.40843700147407,-82.68219414444494
151,-81.71887505556174,-80.36131455779788
152,-42.07960305579739,-79.44326216796279
153,-29.695577491315433,-77.07657734727964
154,35.72383155780682,-76.88916149173203
155,-14.031625224335045,-74.6932690329359
156,61.716358543850966,-71.45831416132876
157,2.9423672522453614,-70.04164184143691
158,1.2745718544273785,-68.86432481027492
159,41.23548074849614,-67.48235497199076
160,5.407045085068604,-66.78649920669596
161,-37.63653046126761,-66.68126100188097
162,-54.71968012623985,-66.48365661183117
163,13.555634448615208,-66.58536376686392
164,-82.37907756634736,-67.38553328350733
165,-43.51572186855958,-67.50221934331657
166,-292.23651936334295,-69.00280539232973
167,131.16526536531322,-66.67404206850969
168,-35.60604034473036,-66.35229279320598
169,-103.22662693279091,-66.46437934087767
170,-1.2560300669905473,-64.59668874222484
171,49.21932840439097,-63.08299010075727
172,-48.52675447590794,-62.11458231512844
173,91.47558248408444,-60.90922908535591
174,-158.08902064412524,-61.14104675176912
175,8.142962360849088,-59.17597369218786
176,5.1764930845427015,-58.29268304361258
177,53.12884751605007,-57.95737202028015
178,-46.88206690116623,-57.32235012543223
179,61.73724922073209,-54.73219584489822
180,-9.423065338913034,-53.10617240109712
181,2.9854803678224897,-52.320841102249425
182,21.551551222826973,-51.29953084666415
183,54.726392954754736,-49.88568546916605
184,-207.04879813506443,-50.979319564706856
185,-16.023325512941796,-49.50757472052449
186,48.69921046208733,-47.391317628266236
187,-10.780040758723516,-45.78122204287667
188,74.0233165608965,-43.1154779828014
189,73.07400990409765,-41.52570688137628
190,52.27287952238618,-40.50294511349016
191,-296.88844283249693,-42.76709283228884
192,141.71354937529082,-40.355032667977454
193,-11.199304549006456,-39.657030514691094
194,-118.9006243788801,-39.66740280098185
195,44.97014115283708,-38.37545470098554
196,59.47053649691887,-36.49747846523694
197,66.27202740219644,-35.1002300044912
198,-74.22441760077807,-34.636277934126035
199,39.51585573407076,-33.77638635973827
200,-25.350692263518127,-32.23825498195708
201,-116.92436149230075,-32.532794889547965
202,42.674697055271636,-31.68334426407267
203,70.85449669820738,-30.68506968958691
204,-95.38163819122758,-30.98187492304243
205,-232.82971327427848,-32.95001535555121
206,34.50020080438139,-31.55116785007398
207,83.59471272726718,-30.533523629083543
208,60.8826438013998,-28.955565472354838
209,26.511463172930195,-27.654694927274132
210,0.934562685830651,-27.42701929767421
211,55.674946652744055,-25.960016402332617
212,44.07478227598839,-24.90636981533395
213,-44.01614655938069,-24.300478417979697
214,10.076573743789886,-23.16013767216516
215,-255.61364743591346,-24.64228130356191
216,-99.43483342281205,-24.755197131512226
217,-72.43446238784072,-25.09320363711196
218,142.2973418781641,-21.80599552955573
219,96.73081231676306,-20.166443674198945
220,-246.94354526804216,-22.382495505789215
221,57.81549698671286,-21.156518267430457
222,-83.62379966877336,-21.078859897742166
223,127.22934178072822,-19.389242261495728
224,33.708991072515275,-18.880339538770013
